"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"D1","1","5.5V","","","","Diode_SMD:D_0603_1608Metric","~"
"F1","1","1A","","","","Fuse:Fuse_0603_1608Metric","~"
"GX-16","1","J1","","","","UCIRP-KiCAD-Lib:GX16-4",""
"J1","1","DE15_Socket_HighDensity_MountingHoles","","","","Connector_Dsub:DSUB-15-HD_Pins_Vertical_P2.29x1.98mm_MountingHoles","~"
"J2","1","Mini-DIN-4","","","","","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf"
"J3","1","Conn_01x02_Socket","","","","","~"
"J4","1","Conn_01x03_Socket","","","","","~"
"J5,J6","2","Conn_01x04_Socket","","","","","~"
"R1","1","0/1k","","","","Resistor_SMD:R_0603_1608Metric","~"
"R2","1","1k","","","","Resistor_SMD:R_0603_1608Metric","~"
